taxa_name,hosts,place,latitude,longitude
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",Japan,36.5748441,139.2394179
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",Mexico,23.6585116,-102.0077097
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",New Zealand,-41.5000831,172.8344077
Hypomyces lateritius,"Lactarius camphoratus, L. chelidonium, L. controversus, L. deliciosus, L. sanguifluus, L. thejogalus, L. trivialis, Lactarius sp.",USA,39.7837304,-100.445882
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.",Canada,61.0666922,-107.991707
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.",China (Inner Mongolia),43.2443242,114.3251664
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.",Europe,51.0,10.0
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.",Japan,36.5748441,139.2394179
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.",Russia,64.6863136,97.7453061
Hypomyces luteovirens,"Russula atropurpurea, R. rosea, R. sanguinaria, Russula sp.",USA,39.7837304,-100.445882
Hypomyces macrosporus,Russulaceae,China (Hubei),39.0000001,116.0
Hypomyces macrosporus,Russulaceae,Mexico,23.6585116,-102.0077097
Hypomyces macrosporus,Russulaceae,USA,39.7837304,-100.445882
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Canada,61.0666922,-107.991707
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",China (Fujian,26.193218,118.2208721
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Guizhou,27.0,107.0
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Hainan,19.2000001,109.5999999
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Hubei,39.0000001,116.0
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Jilin,43.7289674,126.1997366
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Taiwan,23.5983227,120.8353769
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Yunnan),25.0,102.0
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",Indonesia,-2.4833826,117.8902853
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",New Zealand,-41.5000831,172.8344077
Hypomyces microspermus,"Boletaceae, Boletus sp., Imleria badia, Xanthoconium affine, Xerocomellus chrysenteron, Xerocomus sp.",USA,39.7837304,-100.445882
Hypomyces mycophilus,"Auricularia sp., Bulgari sp., Marasmius sp., Polyporus sp., Trametes versicolor",China (Guangdong),23.1357694,113.1982688
Hypomyces mycophilus,"Auricularia sp., Bulgari sp., Marasmius sp., Polyporus sp., Trametes versicolor",USA,39.7837304,-100.445882
Hypomyces ochraceus,"Decaying leaves, wood and fungi (e.g., Russula sp.)",China (Guangxi,-8.8191074,13.2435036
Hypomyces ochraceus,"Decaying leaves, wood and fungi (e.g., Russula sp.)",Yunnan),25.0,102.0
Hypomyces ochraceus,"Decaying leaves, wood and fungi (e.g., Russula sp.)",Europe,51.0,10.0
Hypomyces ochraceus,"Decaying leaves, wood and fungi (e.g., Russula sp.)",USA,39.7837304,-100.445882
